iter	Passed	Remaining
990	18177	3833
991	18195	3815
992	18215	3797
993	18241	3780
994	18261	3762
995	18279	3743
996	18297	3725
997	18316	3707
998	18335	3689
999	18355	3671
1000	18373	3652
1001	18399	3635
1002	18417	3617
1003	18435	3599
1004	18453	3580
1005	18471	3562
1006	18491	3544
1007	18509	3525
1008	18527	3507
1009	18546	3488
1010	18564	3470
1011	18583	3452
1012	18602	3434
1013	18620	3415
1014	18640	3397
1015	18658	3379
1016	18676	3360
1017	18697	3342
1018	18715	3324
1019	18734	3306
1020	18753	3287
1021	18771	3269
1022	18790	3251
1023	18809	3232
1024	18828	3214
1025	18847	3196
1026	18865	3178
1027	18887	3160
1028	18906	3141
1029	18927	3123
1030	18945	3105
1031	18964	3087
1032	18984	3069
1033	19002	3050
1034	19021	3032
1035	19040	3014
1036	19059	2995
1037	19077	2977
1038	19094	2958
1039	19113	2940
1040	19132	2922
1041	19150	2903
1042	19169	2885
1043	19189	2867
1044	19211	2849
1045	19230	2831
1046	19248	2812
1047	19267	2794
1048	19286	2776
1049	19304	2757
1050	19322	2739
1051	19342	2721
1052	19360	2702
1053	19378	2684
1054	19397	2666
1055	19417	2647
1056	19440	2630
1057	19458	2611
1058	19476	2593
1059	19494	2574
1060	19512	2556
1061	19531	2537
1062	19548	2519
1063	19567	2501
1064	19584	2482
1065	19604	2464
1066	19621	2445
1067	19640	2427
1068	19658	2409
1069	19677	2390
1070	19700	2372
1071	19720	2354
1072	19739	2336
1073	19758	2318
1074	19778	2299
1075	19797	2281
1076	19814	2262
1077	19833	2244
1078	19852	2226
1079	19871	2207
1080	19889	2189
1081	19908	2171
1082	19926	2152
1083	19949	2134
1084	19968	2116
1085	19986	2098
1086	20004	2079
1087	20023	2061
1088	20042	2042
1089	20060	2024
1090	20078	2006
1091	20098	1987
1092	20117	1969
1093	20136	1951
1094	20155	1932
1095	20173	1914
1096	20195	1896
1097	20212	1877
1098	20232	1859
1099	20250	1840
1100	20274	1823
1101	20295	1804
1102	20314	1786
1103	20332	1768
1104	20350	1749
1105	20369	1731
1106	20387	1712
1107	20406	1694
1108	20424	1675
1109	20443	1657
1110	20462	1639
1111	20483	1621
1112	20504	1602
1113	20523	1584
1114	20542	1566
1115	20563	1547
1116	20583	1529
1117	20602	1511
1118	20621	1492
1119	20642	1474
1120	20661	1456
1121	20681	1437
1122	20701	1419
1123	20720	1401
1124	20740	1382
1125	20758	1364
1126	20778	1345
1127	20796	1327
1128	20815	1309
1129	20833	1290
1130	20853	1272
1131	20872	1253
1132	20891	1235
1133	20910	1217
1134	20929	1198
1135	20948	1180
1136	20965	1161
1137	20983	1143
1138	21004	1124
1139	21022	1106
1140	21041	1088
1141	21060	1069
1142	21078	1051
1143	21098	1032
1144	21116	1014
1145	21134	995
1146	21153	977
1147	21171	958
1148	21191	940
1149	21211	922
1150	21229	903
1151	21247	885
1152	21265	866
1153	21283	848
1154	21301	829
1155	21320	811
1156	21339	793
1157	21357	774
1158	21376	756
1159	21395	737
1160	21414	719
1161	21433	700
1162	21451	682
1163	21474	664
1164	21492	645
1165	21514	627
1166	21534	608
1167	21553	590
1168	21572	572
1169	21592	553
1170	21610	535
1171	21630	516
1172	21648	498
1173	21669	479
1174	21688	461
1175	21707	443
1176	21726	424
1177	21746	406
1178	21765	387
1179	21785	369
1180	21805	350
1181	21823	332
1182	21843	313
1183	21861	295
1184	21880	276
1185	21897	258
1186	21916	240
1187	21934	221
1188	21953	203
1189	21972	184
1190	21990	166
1191	22008	147
1192	22027	129
1193	22049	110
1194	22067	92
1195	22086	73
1196	22106	55
1197	22124	36
1198	22143	18
1199	22161	0
